뚜레쥬르 지점,뚜레쥬르 충북음성,뚜레쥬르 제천하소로,뚜레쥬르 증평하나로마트,뚜레쥬르 진천성모병원,뚜레쥬르 청원내수,뚜레쥬르 청주용암현대,뚜레쥬르 청주용암부영,뚜레쥬르 청주모충,뚜레쥬르 청주율량,뚜레쥬르 청주가경,뚜레쥬르 청주테크노폴리스,뚜레쥬르 서충주파라뷰,뚜레쥬르 충주용산호암,뚜레쥬르 충북옥천,뚜레쥬르 충북금왕중앙
불고기치즈바게트,,7000,,,,,,,,,,,,,
겹겹이돈가스샌드위치(1/2),,3800,,,,,,,,,,,,,
겹겹이돈가스샌드위치,,7500,,,,,,,,,,,,,
고소한 햄에그 샌드위치 (1/2),,4000,,,,,,,,,,,,,
고소한 햄치즈 에그 샌드위치 (1/2),,4300,,,,,,,,,,,,,
바삭연유콘치즈,,2900,,,,,,,,,,,,,
사과만난 크림치즈 브레드,,3700,,,,,,,,,,,,,
퐁신퐁신 우유 도넛,,3200,3200,,,,,,,,3200,3200,,,
쏙쏙 토스트,4700,,,5200,,,,,,,4700,4700,4700,,
씨앗가득 고소함이 찰떡,,5200,,,,,4700,,,,,,,3300,
고구마 소보로,,3300,,7500,,,,,,,,3300,,,
단.계.감.모닝롤 샌드위치,3300,,,,,,,,,,,,,,
쑥이 듬뿍 맘모스(소),,3000,,,,3000,,,,,,,,,
울퉁불퉁 왕찰떡빵 (대),,5500,,,,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (소),,3300,,6000,6000,,,6000,6000,,,,,6000,
연유퐁당밀크브레드(대),,,,5600,5600,,,,,,,,5600,,
마구마구 고구마,6000,,,,,,,,,,,,,,
연유버터라우겐,5600,,,,,,,,,,,,,,
앙버터라우겐,,4900,,,,,,,,,,4800,,,
새우오믈렛토스트,4700,,,,,,,,,,,4900,,,
포테이토&튜나 샐러드,,9900,,,,,4700,,,,,,,,
크랜베리치킨 베이글 샌드위치,,7200,,,,,,,,,,,,,7800
베지텐더 밸런스랩,,7800,,,8500,,,,,,,,,,8500
쉬림프에그샐러드 (랜치),,,,,,,,,,,,,,,
반숙란 샌드위치(1/2),,3900,,,,,,,,,,,,,
에그쏙 텐더 샌드위치,,6900,6900,,,6900,,,,6900,,6900,,,
핫치킨치아바타,,,,,,,,,,,,,,,
햄치즈 토마토 치아바타,,,,,,,,,,,,,,,
리코타 단호박 샌드위치,,,,,,,,,,,,,,,
착한 빵식 통밀식빵 (사각),,5200,,,,,6700,,,,,,,,
"순, 식빵 (대)",,,,,,,,,,,,,,,
"순, 식빵 (소)",,,,,,,,,,,,,,,
고소 담백 더치브레드,,,,,,,,,,,,,,,
데일리 치아바타,,,,,,,,,,,,,,,
복숭아잼,,,,,,,,,,,,,,,
크림듬뿍 슈크림빵,,1900,,,,,,,,,,,1900,,
바삭 몬테크리스토,,6300,,,,,,,,,,,,,
남해 마늘로 만든 마늘 치킨 고로케,,3300,,,,,,,,,,,,,
에그마요 소금버터롤,,4300,,,,4300,,,,,,4300,,,
더블 롤치즈 식빵 (대),,7300,,,,,,,,,,,,,7300
NEW 치즈바게트,5200,,5200,5200,,5200,,5200,5200,,,,,5200,
